"station_id","station_name","station_address","lat","lon","source","create_year"
"74DA38F20FFE","高雄市市立中路國小","高雄市中路國小 高雄市阿蓮區中路里272號","22.894","120.298","Kaohsiung18","2018"
"74DA38C7D648","新竹市立新竹國小","[300]新竹市東區興學街106號","24.796","120.966","Hsinchu","2017"
"74DA38F21000","高雄市市立三埤國小","高雄市三埤國小 高雄市路竹區民權路7號","22.837","120.28","Kaohsiung18","2018"
"74DA38F21048","高雄市市立鳳翔國小","高雄市鳳翔國小 高雄市鳳山區鳳育路63號","22.595","120.341","Kaohsiung18","2018"
"74DA38C7D38A","嘉義市立嘉北國小","[600]嘉義市東區嘉北街65號","23.493","120.454","Chiayi","2017"
"74DA38F2090E","屏東縣縣立東港高中附設國中","[928]屏東縣東港鎮船頭路1號","22.465","120.455","Pingtung","2018"
"74DA38F20AEE","高雄市市立中崙國中","高雄市立中崙國民中學 高雄市鳳山區中榮里中崙二路487號","22.488","120.489","Kaohsiung18","2018"
"74DA38F20A04","苗栗縣縣立信義國小","[351]苗栗縣頭份市後庄里信中路36號","24.697","120.891","Miaoli","2018"
"74DA38F207E0","苗栗縣縣立興隆國小","[366]苗栗縣銅鑼鄉興隆村117號","24.462","120.811","Miaoli","2018"
"74DA38F7C59C","市立福安國中","臺北市士林區福安里延平北路七段250號","25.103","121.487","Taipei18","2018"
"74DA38F207E2","苗栗縣縣立銅鑼國小","[366]苗栗縣銅鑼鄉福興村文化街1號","24.49","120.791","Miaoli","2018"
"74DA38F207E8","苗栗縣縣立建功國小","[360]苗栗縣苗栗市中正路241號","24.564","120.824","Miaoli","2018"
"74DA38F2093C","新竹縣縣立峨眉國中","[315]新竹縣峨眉鄉峨眉街十鄰54號","25.062","121.451","HsinchuCounty","2018"
"74DA38F20944","新竹縣縣立新豐國中","[304]新竹縣新豐鄉成德街36號","24.902","120.991","HsinchuCounty","2018"
"74DA38F2104C","高雄市市立金山國小","高雄市金山國小 高雄市燕巢區金山里番田路29號","22.811","120.398","Kaohsiung18","2018"
"08BEAC0A02F8","桃園市市立八德國小","桃園市八德區興豐路222號","24.928085","121.2831983","Taoyuan19","2019"
"08BEAC0A0432","臺中市立東華國中","臺中市東勢區東關路五段500號","24.20530925","120.8396155","Taichung19","2019"
"08BEAC09FF14","臺中市立臺中啟明學校","臺中市后里區廣福里三豐路三段936號","24.30478166","120.7232066","Taichung19","2019"
"08BEAC0A03FA","桃園市市立中壢國小","桃園市中壢區中榮里延平路622號","24.9543774","121.2210425","Taoyuan19","2019"
"08BEAC0A0418","桃園市市立中原國小","桃園市中壢區中北路88號","24.95630333","121.2387916","Taoyuan19","2019"
"74DA38C7D490","金門縣立湖埔國小","[892]金門縣金寧鄉湖下196號","24.456","118.308","Kinmen","2017"
"74DA38C7D516","新竹市立虎林國小","[300]新竹市香山區延平路二段78號","24.806","120.941","Hsinchu","2017"
